,PRE98sc
KLHDC9,0.07676442
PFDN2,0.5210795
NIT1,0.10346311
DEDD,0.057137325
UFC1,0.40775743
USP21,0.020439714
PPOX,0.05276951
B4GALT3,0.07157312
ADAMTS4,0.0
NDUFS2,0.53435487
FCER1G,0.02436662
APOA2,0.0
TOMM40L,0.025896907
SDHC,0.44782358
FCGR2A,0.013456532
HSPA6,0.0076281624
FCGR3A,0.0092649935
FCGR3B,0.0
FCGR2B,0.009140432
FCRLB,0.015650878
DUSP12,0.06922983
ATF6-DT,0.0022029574
ATF6,0.18891372
OLFML2B,0.0029015604
SH2D1B,0.0051915
UHMK1,0.44704172
UAP1,0.19222423
DDR2,0.018792044
HSD17B7,0.030592125
RGS4,0.0041021886
RGS5,0.0
ENSG00000232995,0.0
PBX1,0.33634925
MGST3,1.164989
ALDH9A1,0.32998452
TMCO1,0.6190779
UCK2,0.023034874
POGK,0.12850168
TADA1,0.016920311
POU2F1,0.06865026
CD247,0.01713107
CREG1,0.17871971
RCSD1,0.013175512
MPZL1,0.112546615
MPC2,0.5773805
DCAF6,0.10868956
GPR161,0.00394474
TIPRL,0.130532
SFT2D2,0.20075873
XCL2,0.003409941
DPT,0.0022447996
ATP1B1,2.8992038
NME7,0.45977262
BLZF1,0.07315281
SLC19A2,0.09913959
F5,0.0061853947
SELP,0.026104433
SELL,0.009152389
METTL18,0.025092179
SCYL3,0.052228037
KIFAP3,0.08749605
GORAB,0.014705013
FMO3,0.0
FMO2,0.009031432
FMO4,0.1331199
PRRC2C,0.29574072
VAMP4,0.08321059
METTL13,0.042205494
DNM3,0.024222722
DNM3OS,0.012161953
PIGC,0.077163
SUCO,0.12695163
PRDX6-AS1,0.0030012936
PRDX6,1.0138748
KLHL20,0.05801381
CENPL,0.0069358
DARS2,0.04008317
ZBTB37,0.07185639
RC3H1,0.11988795
RABGAP1L,0.14133778
CACYBP,0.20477256
MRPS14,0.12116042
KIAA0040,0.032628685
COP1,0.0560133
SEC16B,0.0035628094
RASAL2,0.101808995
RALGPS2,0.091134325
ANGPTL1,0.104085006
FAM20B,0.10068238
TOR3A,0.043139342
ABL2,0.050831504
SOAT1,0.11587616
TOR1AIP2,0.2678737
TOR1AIP1,0.17788649
ENSG00000260360,0.0
CEP350,0.14531907
QSOX1,0.18697493
ACBD6,0.07770824
XPR1,0.116844565
STX6,0.060149066
MR1,0.06277748
IER5,0.039727405
GLUL,0.47695938
RNASEL,0.024230083
RGS16,0.020953134
NPL,0.06986746
DHX9,0.23402882
LAMC1,0.12549862
SMG7,0.14546289
NCF2,0.0048440685
ARPC5,0.35353994
RGL1,0.08525915
TSEN15,0.12792817
C1orf21,0.048029345
EDEM3,0.115227245
NIBAN1,0.026989762
RNF2,0.09092024
TRMT1L,0.10365411
SWT1,0.02894917
IVNS1ABP,0.7442888
ENSG00000273004,0.0
HMCN1,0.022125917
TPR,0.16854602
ODR4,0.077720694
PTGS2,0.008199283
RGS18,0.0066369707
RGS1,0.022945464
RGS13,0.0
RGS2,0.067523114
UCHL5,0.112005495
RO60,0.24260618
GLRX2,0.07833647
CDC73,0.12092702
KCNT2,0.006414317
CFH,0.0532754
CFHR1,0.0
ZBTB41,0.1152291
DENND1B,0.111904554
NEK7,0.17777888
PTPRC,0.051180013
MIR181A1HG,0.0072181495
NR5A2,0.0
ZNF281,0.091005735
DDX59,0.058696963
CAMSAP2,0.109620705
KIF21B,0.0
TMEM9,0.28938317
PKP1,0.0030449543
PHLDA3,0.06658324
CSRP1,0.30763447
NAV1,0.042089783
IPO9-AS1,0.00485281
IPO9,0.07019237
SHISA4,0.035775077
ENSG00000223774,0.00354181
LMOD1,0.018994717
TIMM17A,0.14979813
RNPEP,0.11236204
ELF3,0.17797771
ARL8A,0.15033832
PTPN7,0.00446854
LGR6,0.0
UBE2T,0.03487471
PPP1R12B,0.12587442
KDM5B,0.09189234
PCAT6,0.013960616
RABIF,0.06208899
KLHL12,0.08999983
ADIPOR1,0.21010998
CYB5R1,0.15483333
TMEM183A,0.118076496
LINC01353,0.0
BTG2-DT,0.0043556043
BTG2,0.37384576
PRELP,0.007086656
ATP2B4,0.16562372
LAX1,0.0
ZC3H11A,0.006154109
ZBED6,0.0013198897
SNRPE,0.45208836
SOX13,0.06358347
ETNK2,0.15606433
PLEKHA6,0.06525694
PPP1R15B,0.11385483
PIK3C2B,0.015089159
MDM4,0.42285278
NFASC,0.018756937
RBBP5,0.09206806
DSTYK,0.085386895
CDK18,0.06647409
ELK4,0.14335825
SLC45A3,0.0
NUCKS1,1.0870929
RAB29,0.15482229
SLC41A1,0.040505465
PM20D1,0.017145911
RHEX,0.016401673
FAM72A,0.0
SRGAP2,0.049066853
RASSF5,0.013114865
EIF2D,0.0794761
MAPKAPK2,0.19680521
IL10,0.0
IL20,0.0
FCMR,0.004205741
PFKFB2,0.084797755
YOD1,0.03047169
CD55,0.19718213
CR1,0.0
CD46,0.7618424
MIR29B2CHG,0.12263281
CD34,0.11533993
PLXNA2,0.028977368
G0S2,0.31831655
TRAF3IP3,0.03346928
IRF6,0.13558915
UTP25,0.049443513
SERTAD4-AS1,0.14369567
HHAT,0.030189186
RCOR3,0.1577959
TRAF5,0.06343126
LINC00467,0.103464745
SLC30A1,0.15803339
NEK2,0.0
LPGAT1,0.10340971
INTS7,0.014554338
PPP2R5A,0.23210783
PACC1,0.023062345
NENF,0.6326668
ENSG00000260805,0.017358048
ATF3,0.146339
BATF3,0.0
NSL1,0.11178565
TATDN3,0.065109394
FLVCR1,0.031981952
ANGEL2,0.0960095
RPS6KC1,0.03562965
SMYD2,0.054703157
PTPN14,0.11467642
