,KRP446
SEMA4A,0.04898885
SLC25A44,0.14988159
PMF1,0.0
SMG5,0.15448391
TMEM79,0.014130261
GLMP,0.05194075
CCT3,0.118939966
MEF2D,0.14367147
NAXE,0.028438516
GPATCH4,0.028285578
NES,0.02501753
CRABP2,0.0042762235
ISG20L2,0.044537965
METTL25B,0.0732758
MRPL24,0.028477864
HDGF,0.12220968
PRCC,0.18575838
SH2D2A,0.0019901125
PEAR1,0.009513438
ARHGEF11,0.48047233
ETV3,0.033747926
CD5L,0.00032051385
KIRREL1,0.17628208
CD1D,0.000305316
CD1C,0.0
MNDA,0.0020899668
PYHIN1,0.013392167
IFI16,0.06985724
ACKR1,0.0010915481
FCER1A,0.00094882806
ENSG00000228560,0.0030356466
APCS,0.0035830066
DUSP23,0.031422667
FCRL6,0.0015892922
TAGLN2,0.0703823
PIGM,0.0
IGSF8,0.03761528
ATP1A2,0.0016011525
PEA15,0.028827382
DCAF8,0.13354856
PEX19,0.0012673342
COPA,0.39183068
NCSTN,0.06685708
SLAMF6,0.0076282974
CD84,0.008598533
SLAMF1,0.0026312014
CD48,0.00261865
SLAMF7,0.0015949016
LY9,0.0026453182
CD244,0.0006647976
ITLN1,0.00048177253
F11R,0.07790113
TSTD1,0.0
USF1,0.03194551
ARHGAP30,0.010776538
NECTIN4,0.012987177
KLHDC9,0.011309477
PFDN2,0.087622985
NIT1,0.12942669
DEDD,0.07028227
UFC1,0.045670625
USP21,0.016225655
PPOX,0.035713334
B4GALT3,0.05434098
ADAMTS4,0.00073408335
NDUFS2,0.09570429
FCER1G,0.002792513
APOA2,0.0
TOMM40L,0.020340899
SDHC,0.27145812
FCGR2A,0.013481241
HSPA6,0.0029230672
FCGR3A,0.0008183057
FCGR3B,0.0012607822
FCGR2B,0.00345805
FCRLB,0.0040880684
DUSP12,0.03912626
ATF6-DT,0.0
ATF6,0.54746294
OLFML2B,0.008605211
SH2D1B,0.0071052276
UHMK1,0.18873331
UAP1,0.17648686
DDR2,0.07544536
HSD17B7,0.08646091
RGS4,0.0
RGS5,0.0
ENSG00000232995,0.0
PBX1,1.124495
MGST3,0.31647623
ALDH9A1,0.063860506
TMCO1,0.13260561
UCK2,0.13460231
POGK,0.124865375
TADA1,0.07971507
POU2F1,0.6289032
CD247,0.025166389
CREG1,0.0550955
RCSD1,0.036191165
MPZL1,0.24604234
MPC2,0.09539755
DCAF6,0.7066256
GPR161,0.013536617
TIPRL,0.11277697
SFT2D2,0.15307453
XCL2,0.0003833764
DPT,0.01986663
ATP1B1,1.7852129
NME7,0.5705754
BLZF1,0.15268949
SLC19A2,0.2763846
F5,0.017305898
SELP,0.010404995
SELL,0.0035082109
METTL18,0.0047515994
SCYL3,0.11809225
KIFAP3,0.24769592
GORAB,0.03806615
FMO3,0.0047798636
FMO2,0.010242174
FMO4,0.37398848
PRRC2C,0.85262555
VAMP4,0.06251045
METTL13,0.039725363
DNM3,0.4319909
DNM3OS,0.008092362
PIGC,0.088423565
SUCO,0.34088364
PRDX6-AS1,0.22490811
PRDX6,0.20823427
KLHL20,0.52437335
CENPL,0.010565867
DARS2,0.044222713
ZBTB37,0.16636503
RC3H1,0.5082068
RABGAP1L,1.8130723
CACYBP,0.04421798
MRPS14,0.054226402
KIAA0040,0.08626658
COP1,0.8685235
SEC16B,0.13603729
RASAL2,0.69143003
RALGPS2,0.6266478
ANGPTL1,0.045516293
FAM20B,0.13073671
TOR3A,0.028405176
ABL2,0.4692807
SOAT1,0.13276209
TOR1AIP2,0.2734105
TOR1AIP1,0.13478439
ENSG00000260360,0.0
CEP350,0.6908378
QSOX1,0.08863687
ACBD6,0.5531221
XPR1,0.8469062
STX6,0.13462806
MR1,0.06070763
IER5,0.0061017442
GLUL,0.14581591
RNASEL,0.02854099
RGS16,0.010061193
NPL,0.33690077
DHX9,0.33241165
LAMC1,0.32643104
SMG7,0.39763358
NCF2,0.0031728193
ARPC5,0.08355275
RGL1,0.40882963
TSEN15,0.16399756
C1orf21,0.17405707
EDEM3,0.24556755
NIBAN1,0.037538458
RNF2,0.118930295
TRMT1L,0.103490084
SWT1,0.24516895
IVNS1ABP,0.64969
ENSG00000273004,0.00094383763
HMCN1,0.23259044
TPR,0.38528603
ODR4,0.23855612
PTGS2,0.009762166
RGS18,0.0022169496
RGS1,0.013757199
RGS13,0.0012051421
RGS2,0.024025956
UCHL5,0.11116467
RO60,0.17737329
GLRX2,0.025854982
CDC73,0.39041266
KCNT2,0.070584185
CFH,0.058234867
CFHR1,0.0
ZBTB41,0.09245379
DENND1B,0.55182713
NEK7,0.6041724
PTPRC,0.05588418
MIR181A1HG,0.078348085
NR5A2,0.008219541
ZNF281,0.064807385
DDX59,0.11020301
CAMSAP2,0.5245054
KIF21B,0.002335657
TMEM9,0.06655702
PKP1,0.0027783273
PHLDA3,0.005898224
CSRP1,0.075359255
NAV1,0.10123401
IPO9-AS1,0.02760602
IPO9,0.24704881
SHISA4,0.0049280734
ENSG00000223774,0.0021739188
LMOD1,0.011997966
TIMM17A,0.089545846
RNPEP,0.09278041
ELF3,0.20728323
ARL8A,0.08655597
PTPN7,0.0086150635
LGR6,0.005303022
UBE2T,0.0050504464
PPP1R12B,0.7300426
KDM5B,0.37900826
PCAT6,0.0028609252
RABIF,0.018692993
KLHL12,0.08698887
ADIPOR1,0.05161402
CYB5R1,0.07364699
TMEM183A,0.037249073
LINC01353,0.0005707481
BTG2-DT,0.001955605
BTG2,0.2533706
PRELP,0.0057505267
ATP2B4,0.28569335
LAX1,0.0021511307
ZC3H11A,0.0
ZBED6,0.0
SNRPE,0.028005099
SOX13,0.27227563
ETNK2,0.27433977
PLEKHA6,0.8132012
PPP1R15B,0.09701989
PIK3C2B,0.055947848
MDM4,0.5329495
NFASC,0.09863881
RBBP5,0.12638867
DSTYK,0.28454545
CDK18,0.14422984
ELK4,0.21307532
SLC45A3,0.017793735
NUCKS1,0.42106482
RAB29,0.18595578
SLC41A1,0.07778704
PM20D1,0.01951401
RHEX,0.8268879
FAM72A,0.0015304858
SRGAP2,0.20887706
RASSF5,0.0094030425
EIF2D,0.061952837
MAPKAPK2,0.31032702
IL10,0.0003708395
IL20,0.0
FCMR,0.0049825665
PFKFB2,0.3942015
YOD1,0.042257402
CD55,0.08363899
CR1,0.040856376
CD46,0.40043673
MIR29B2CHG,0.6403568
CD34,0.02284685
PLXNA2,0.38068762
G0S2,0.09616152
TRAF3IP3,0.02699295
IRF6,0.06966897
UTP25,0.027115244
SERTAD4-AS1,0.014022303
HHAT,0.20255
RCOR3,0.54520255
TRAF5,0.07421651
LINC00467,0.16103476
SLC30A1,0.026917018
NEK2,0.0
LPGAT1,0.33909068
INTS7,0.085242994
PPP2R5A,0.4617022
PACC1,0.07864912
NENF,0.069678694
ENSG00000260805,0.003433815
ATF3,0.15743768
BATF3,0.0027028667
NSL1,0.17769103
TATDN3,0.115351506
