,Sample1162-EO2
FUBP1,0.20294486
DNAJB4,0.14001322
GIPC2,0.22822542
ENSG00000273338,0.015207018
IFI44L,0.03830707
IFI44,0.049330994
ADGRL4,0.1298809
ADGRL2,0.17227162
TTLL7,0.02550417
PRKACB,0.14415352
RPF1,0.11338377
GNG5,1.2701606
SPATA1,0.018381221
CTBS,0.20999618
SSX2IP,0.13114896
C1orf52,0.12099957
BCL10,0.19487979
DDAH1,0.41013953
CCN1,0.19008738
ZNHIT6,0.052470062
ODF2L,0.15832412
SH3GLB1,0.33794722
SELENOF,0.45738736
HS2ST1,0.08076602
LMO4,0.17634211
PKN2,0.2891263
GTF2B,0.16281192
KYAT3,0.109494545
RBMXL1,0.080551066
GBP3,0.011239378
GBP1,0.053728066
GBP2,0.03434934
GBP4,0.06768206
GBP5,0.0051460303
LRRC8B,0.055853833
LRRC8C-DT,0.008614209
LRRC8C,0.039317884
LRRC8D,0.063365914
ZNF326,0.13601485
ZNF644,0.23305482
TGFBR3,0.116549134
BTBD8,0.022005996
GLMN,0.03941761
RPAP2,0.092393115
EVI5,0.103664026
RPL5,1.8745807
DIPK1A,0.009870757
MTF2,0.086643845
TMED5,0.23750222
CCDC18,0.0053596194
DR1,0.14856389
FNBP1L,0.32765183
BCAR3,0.05672262
DNTTIP2,0.15171364
GCLM,0.12981986
ARHGAP29,0.4582871
ABCD3,0.2828767
F3,0.037587807
CNN3,0.77103484
ALG14,0.085204124
TLCD4,0.044616356
PTBP2,0.122541994
DPYD,0.07972635
SNX7,0.10211045
PALMD,0.05714176
AGL,0.210315
SLC35A3,0.13268876
MFSD14A,0.024145637
TRMT13,0.07151433
DBT,0.20192373
RTCA-AS1,0.011768182
RTCA,0.15744206
CDC14A,0.028726762
VCAM1,0.17996286
EXTL2,0.061239187
SLC30A7,0.116129085
DPH5,0.07326766
DPH5-DT,0.035416488
S1PR1,0.08223529
RNPC3,0.19297293
PRMT6,0.06773131
VAV3,0.30599982
SLC25A24,0.13038561
EEIG2,0.014628242
HENMT1,0.017522696
PRPF38B,0.20674972
STXBP3,0.23387907
GPSM2,0.014501898
CLCC1,0.05543107
WDR47,0.057392042
TAF13,0.13276902
TMEM167B,0.13883153
SARS1,0.2701349
CELSR2,0.07453019
PSRC1,0.0016673504
SORT1,0.24129486
PSMA5,0.41554952
CYB561D1,0.010820344
AMIGO1,0.025982874
GNAI3,0.22315252
AMPD2,0.05654824
GSTM4,0.18266273
GSTM1,0.0
GSTM5,0.012301011
GSTM3,0.67192495
CSF1,0.027768878
AHCYL1,0.58027095
STRIP1,0.048257064
KCNC4,0.088081926
RBM15,0.040032476
SLC16A4,0.33841997
LAMTOR5,1.2822028
CD53,0.024641914
LRIF1,0.075240426
DRAM2,0.1326416
CEPT1,0.06733856
ENSG00000273221,0.008001466
DENND2D,0.060158998
WDR77,0.076850675
ATP5PB,0.72877985
C1orf162,0.023031145
TMIGD3,0.0
ADORA3,0.002500438
RAP1A,0.35881186
DDX20,0.05885024
CTTNBP2NL,0.10830746
WNT2B,0.003987346
ST7L,0.061250076
CAPZA1,0.2170509
MOV10,0.06100985
RHOC,0.61393005
PPM1J,0.0050611766
SLC16A1,0.030314349
SLC16A1-AS1,0.009060113
LRIG2,0.050181385
MAGI3,0.08174553
PHTF1,0.04183788
RSBN1,0.14866568
PTPN22,0.0056384047
AP4B1,0.027584415
DCLRE1B,0.00565014
HIPK1-AS1,0.003803839
HIPK1,0.17519577
OLFML3,0.0
TRIM33,0.14284925
BCAS2,0.24972585
DENND2C,0.014143025
NRAS,0.09719229
CSDE1,0.8013821
SIKE1,0.17122355
TSPAN2,0.029861057
NGF,0.0
VANGL1,0.039255634
CASQ2,0.007864295
SLC22A15,0.028078932
ATP1A1,1.7118142
CD58,0.091817215
CD2,0.019133886
PTGFRN,0.034637783
TTF2,0.03278195
TRIM45,0.013869453
VTCN1,0.10536782
MAN1A2,0.23514396
TENT5C,0.056512028
GDAP2,0.07026609
WDR3,0.044240665
WARS2,0.04995014
PHGDH,0.399412
HMGCS2,0.1865387
NOTCH2,0.07017852
SEC22B,0.2853832
LINC00623,0.051341355
FCGR1BP,0.0
SRGAP2C,0.058765132
LINC02591,0.01957921
LINC02802,0.058683507
NBPF15,0.015825607
SRGAP2B,0.03959189
ENSG00000276216,0.004230899
