,PRE038
MIER1,0.15678594
SERBP1,0.47075936
GADD45A,0.7450711
GNG12,0.45258334
WLS,0.29321563
LRRC40,0.07103404
SRSF11,0.33173865
ANKRD13C,0.06365715
ZRANB2,0.19626385
FPGT,0.0664278
FPGT-TNNI3K,0.007888668
CRYZ,0.5189258
TYW3,0.113435104
ACADM,0.75762576
RABGGTB,0.3814473
ST6GALNAC3,0.029200012
PIGK,0.09730593
ZZZ3,0.10761594
USP33,0.19445135
MIGA1,0.19220151
NEXN,0.036204085
FUBP1,0.12265885
DNAJB4,0.11197159
GIPC2,0.46337917
ENSG00000273338,0.009930367
IFI44L,0.065805346
IFI44,0.06985007
ADGRL4,0.13615277
ADGRL2,0.095840536
TTLL7,0.043971278
PRKACB,0.13498817
RPF1,0.09796842
GNG5,0.76555055
SPATA1,0.010484951
CTBS,0.14656965
SSX2IP,0.14945883
C1orf52,0.08155375
BCL10,0.091965504
DDAH1,0.5722718
CCN1,0.056170806
ZNHIT6,0.027973916
ODF2L,0.16823766
SH3GLB1,0.2568804
SELENOF,0.46792218
HS2ST1,0.09166568
LMO4,0.19196606
PKN2,0.227497
GTF2B,0.09608935
KYAT3,0.08106945
RBMXL1,0.052729536
GBP3,0.04486387
GBP1,0.054041028
GBP2,0.0436795
GBP4,0.14767188
GBP5,0.009353873
LRRC8B,0.027052294
LRRC8C-DT,0.010436088
LRRC8C,0.0356728
LRRC8D,0.10775058
ZNF326,0.0829134
ZNF644,0.19072638
TGFBR3,0.31751
BTBD8,0.031601347
GLMN,0.028655471
RPAP2,0.08673534
EVI5,0.13020779
RPL5,1.5218531
DIPK1A,0.018886289
MTF2,0.066358805
TMED5,0.29101598
CCDC18,0.0038002587
DR1,0.12967063
FNBP1L,0.18350713
BCAR3,0.05802988
DNTTIP2,0.11172188
GCLM,0.22958624
ARHGAP29,0.42162457
ABCD3,0.29367614
F3,0.015501071
CNN3,0.6889327
ALG14,0.06910864
TLCD4,0.036576025
PTBP2,0.105398364
DPYD,0.085202485
SNX7,0.12731287
PALMD,0.039807495
AGL,0.17393
SLC35A3,0.13922964
MFSD14A,0.013415484
TRMT13,0.060615845
DBT,0.1858893
RTCA-AS1,0.012562845
RTCA,0.21116032
CDC14A,0.036327396
VCAM1,0.13001557
EXTL2,0.058690157
SLC30A7,0.12448011
DPH5,0.048061583
